spying;Spy program in progress.;;;;;;;;;;;;x
spy_unrest;Foreign Propaganda;;;;;;;;;;;;x
form_spy_agency_title;Form a national intelligence agency.;;;;;;;;;;;;x
form_spy_agency_desc;Construct an intelligence agency in order to conduct spy programs abroad. §R Spy programs can only be done by GPs against other GPs.;;;;;;;;;;;;x
spy_port_strike_title;Sabotage dockyards.;;;;;;;;;;;;x
spy_port_strike_desc;This spy program will destroy a port in another nation. (There is no way to remove just one level so the whole port is destroyed. Sorry! Technical limitations. The program has a high failure rate to balance this.);;;;;;;;;;;;x
spy_research_title;Steal research.;;;;;;;;;;;;x
spy_research_desc;This spy program will steal research points from another nation.;;;;;;;;;;;;x
spy_WE_title;Spread propaganda abroad.;;;;;;;;;;;;x
spy_WE_desc;This spy program will increase the militancy and war exhaustion of another nation.;;;;;;;;;;;;x
spy_show_title;Show spy programs.;;;;;;;;;;;;x
spy_hide_title;Hide spy programs.;;;;;;;;;;;;x
spy_show_desc;Show spy programs.;;;;;;;;;;;;x
spy_hide_desc;Hide spy programs.;;;;;;;;;;;;x